cpuTime,nvarsOrig,nclausesOrig,nvars,nclauses,reducedVars,reducedClauses,Pre-featuretime,vars-clauses-ratio,POSNEG-RATIO-CLAUSE-mean,POSNEG-RATIO-CLAUSE-coeff-variation,POSNEG-RATIO-CLAUSE-min,POSNEG-RATIO-CLAUSE-max,POSNEG-RATIO-CLAUSE-entropy,VCG-CLAUSE-mean,VCG-CLAUSE-coeff-variation,VCG-CLAUSE-min,VCG-CLAUSE-max,VCG-CLAUSE-entropy,UNARY,BINARY+,TRINARY+,Basic-featuretime,VCG-VAR-mean,VCG-VAR-coeff-variation,VCG-VAR-min,VCG-VAR-max,VCG-VAR-entropy,POSNEG-RATIO-VAR-mean,POSNEG-RATIO-VAR-stdev,POSNEG-RATIO-VAR-min,POSNEG-RATIO-VAR-max,POSNEG-RATIO-VAR-entropy,HORNY-VAR-mean,HORNY-VAR-coeff-variation,HORNY-VAR-min,HORNY-VAR-max,HORNY-VAR-entropy,horn-clauses-fraction,VG-mean,VG-coeff-variation,VG-min,VG-max,KLB-featuretime,CG-mean,CG-coeff-variation,CG-min,CG-max,CG-entropy,cluster-coeff-mean,cluster-coeff-coeff-variation,cluster-coeff-min,cluster-coeff-max,cluster-coeff-entropy,CG-featuretime,restarts,conflicts,decisions,propagations,conflictLiterals
12.1297,32949.000000000,112857.000000000,16300.000000000,84645.000000000,1.021411043,0.333297891,0.240000000,0.192568964,0.435255441,0.488080915,0.000000000,1.000000000,1.039092460,0.000216375,0.204311520,0.000122699,0.000613497,0.902416828,0.000000000,0.123031484,0.356004489,0.000000000,0.000216375,0.262043941,0.000082698,0.001854805,1.966084066,0.026477837,0.044575856,0.000000000,0.714285714,1.154398876,0.000105383,0.294174706,0.000011814,0.000803355,1.711629611,0.507366058,0.000094417,0.272781072,0.000059070,0.000803355,0.320000000,0.000324675,0.317103237,0.000047256,0.002681789,2.647373086,0.338045336,0.232062465,0.027475075,0.651515152,2.819913262,1.480000000,63,17306,102602,3629058,146876
544.357,25220.000000000,88070.000000000,12046.000000000,66622.000000000,1.093641043,0.321935697,0.160000000,0.180811143,0.466203945,0.554390812,0.000000000,1.000000000,1.299510187,0.000285839,0.263930630,0.000166030,0.002905529,1.017358946,0.000000000,0.094953619,0.491414248,0.020000000,0.000285839,0.574387195,0.000105070,0.003377263,2.436260101,0.022346453,0.056327589,0.000000000,0.800000000,1.038879598,0.000140827,0.566841153,0.000015010,0.001531026,2.236742564,0.515760560,0.000130017,0.602371536,0.000060040,0.001335895,0.160000000,0.000553226,0.692362966,0.000105070,0.005463661,3.582641875,0.273434978,0.373712062,0.031279247,0.511111111,3.313068019,2.640000000,31,6537,33427,3960569,80149
551.471,25220.000000000,88070.000000000,12046.000000000,66622.000000000,1.093641043,0.321935697,0.160000000,0.180811143,0.466203945,0.554390812,0.000000000,1.000000000,1.299510187,0.000285839,0.263930630,0.000166030,0.002905529,1.017358946,0.000000000,0.094953619,0.491414248,0.020000000,0.000285839,0.574387195,0.000105070,0.003377263,2.436260101,0.022346453,0.056327589,0.000000000,0.800000000,1.038879598,0.000140827,0.566841153,0.000015010,0.001531026,2.236742564,0.515760560,0.000130017,0.602371536,0.000060040,0.001335895,0.160000000,0.000553226,0.692362966,0.000105070,0.005463661,3.582641875,0.273434978,0.373712062,0.031279247,0.511111111,3.313068019,2.660000000,28,5191,29127,3050101,57972
9.50919,8145.000000000,28226.000000000,3589.000000000,18828.000000000,1.269434383,0.499150202,0.040000000,0.190620353,0.428336297,0.573400806,0.000000000,1.000000000,1.275760264,0.000940588,0.262552033,0.000557258,0.008358874,0.993250896,0.000000000,0.084076907,0.572551519,-0.000000000,0.000940588,0.710012148,0.000371787,0.014712131,2.356531245,0.025459412,0.067745111,0.000000000,0.733333333,1.143300416,0.000435051,0.608411835,0.000053112,0.003824092,2.215779312,0.479711069,0.000451389,0.699854372,0.000212450,0.005045677,0.020000000,0.002054740,0.818152983,0.000318674,0.008391757,3.435972868,0.276787314,0.399621062,0.028523770,0.712121212,3.379619166,0.780000000,89,24149,46934,3410151,705244
599.786,5800.000000000,20234.000000000,2346.000000000,12767.000000000,1.472293265,0.584867236,0.040000000,0.183754993,0.471612826,0.593465116,0.000000000,1.000000000,1.355810948,0.001441870,0.197044563,0.000852515,0.002983802,0.978142856,0.000000000,0.050755855,0.608600298,-0.000000000,0.001441870,1.196051588,0.000548289,0.036735333,2.453862017,0.022271008,0.055043430,0.000000000,0.600000000,1.104504352,0.000667048,0.994367665,0.000156654,0.014803791,2.347915638,0.482650584,0.000682840,0.980769293,0.000391635,0.012767291,-0.000000000,0.005352380,1.068700478,0.000469962,0.033758910,4.456568094,0.219562982,0.546090124,0.013019999,0.604395604,3.686516073,1.940000000,88,23861,40219,3930685,711801
599.378,23489.000000000,81784.000000000,11379.000000000,62806.000000000,1.064241146,0.302168583,0.200000000,0.181176958,0.460611368,0.563319365,0.000000000,1.000000000,1.309918101,0.000302967,0.248028735,0.000175762,0.003075841,1.029859338,0.000000000,0.101311977,0.479683470,-0.000000000,0.000302967,0.575394119,0.000111454,0.003582460,2.463934900,0.022695037,0.052218314,0.000000000,0.666666667,1.069528598,0.000147449,0.557826603,0.000015922,0.001624049,2.259215073,0.510651849,0.000135884,0.568044108,0.000063688,0.001417062,0.160000000,0.000586625,0.721268589,0.000111454,0.005795625,3.562740547,0.281055600,0.352556950,0.031325965,0.511111111,3.335541980,2.620000000,47,11235,49993,3736873,123032
24.2097,17855.000000000,61843.000000000,5508.000000000,26608.000000000,2.241648511,1.324225797,0.100000000,0.207005412,0.451623715,0.752868076,0.000000000,1.000000000,1.465015497,0.000604769,0.567022312,0.000363108,0.006354394,1.154937435,0.000000000,0.180208960,0.615641912,-0.000000000,0.000604769,1.068337652,0.000263079,0.017175286,2.692172119,0.073623580,0.148848867,0.000000000,0.870967742,1.722395426,0.000266293,0.898903274,0.000037583,0.007178292,2.341492860,0.484703848,0.000376482,1.043569333,0.000150331,0.007178292,0.040000000,0.001918169,1.232673832,0.000187913,0.015634396,4.216903071,0.260123068,0.491129215,0.017741352,0.648351648,3.781202795,2.500000000,31,7573,13892,5084173,169232
201.817,20515.000000000,71386.000000000,9888.000000000,54439.000000000,1.074737055,0.311302559,0.140000000,0.181634490,0.460480371,0.565308019,0.000000000,1.000000000,1.313705078,0.000348420,0.254697080,0.000202265,0.003539644,1.033129525,0.000000000,0.102353092,0.482356399,-0.000000000,0.000348420,0.576811408,0.000128584,0.004133066,2.481024195,0.023254427,0.053977118,0.000000000,0.666666667,1.078859900,0.000169397,0.559562403,0.000018369,0.001873657,2.266450966,0.510461250,0.000156859,0.575679546,0.000073477,0.001634857,0.120000000,0.000674890,0.723023548,0.000128584,0.006686383,3.585535217,0.281198887,0.352025288,0.031325965,0.511111111,3.348433044,2.220000000,30,6304,27446,3907321,89225
12.0527,32949.000000000,112857.000000000,16300.000000000,84645.000000000,1.021411043,0.333297891,0.260000000,0.192568964,0.435255441,0.488080915,0.000000000,1.000000000,1.039092460,0.000216375,0.204311520,0.000122699,0.000613497,0.902416828,0.000000000,0.123031484,0.356004489,-0.000000000,0.000216375,0.262043941,0.000082698,0.001854805,1.966084066,0.026477837,0.044575856,0.000000000,0.714285714,1.154398876,0.000105383,0.294174706,0.000011814,0.000803355,1.711629611,0.507366058,0.000094417,0.272781072,0.000059070,0.000803355,0.320000000,0.000324675,0.317103237,0.000047256,0.002681789,2.647373086,0.338045336,0.232062465,0.027475075,0.651515152,2.819913262,1.480000000,63,17931,111701,3816268,150644
391.976,25148.000000000,87657.000000000,11671.000000000,64421.000000000,1.154742524,0.360689837,0.200000000,0.181167632,0.459995185,0.566837951,0.000000000,1.000000000,1.308254013,0.000295736,0.246520737,0.000171365,0.002998886,1.023595488,0.000000000,0.102031946,0.473137641,-0.000000000,0.000295736,0.559389284,0.000108660,0.003492650,2.438402812,0.023724096,0.059158601,0.000000000,0.666666667,1.094098368,0.000143615,0.551017798,0.000015523,0.001583335,2.271893283,0.509166266,0.000132975,0.558927658,0.000062092,0.001381537,0.180000000,0.000564477,0.703444620,0.000077614,0.005634809,3.524197142,0.282051101,0.351766871,0.030833492,0.588932806,3.351592050,2.600000000,37,8788,42599,3789407,116714
