cpuTime,fileName,restarts,conflicts,decisions,propagations,conflictLiterals
599.855,bench_1121.smt2.cnf,31,7330,29915,3923693,125208
74.5016,bench_11220.smt2.cnf,59,13177,30793,3687719,348781
256.996,bench_1122.smt2.cnf,31,6433,37613,3335780,69877
266.911,bench_1123.smt2.cnf,31,7179,40421,3929761,82384
20.463,bench_11254.smt2.cnf,41,9599,30655,3800009,163353
599.799,bench_1125.smt2.cnf,31,7759,36752,3723197,97099
599.841,bench_1126.smt2.cnf,18,3422,18999,1877314,40716
19.9476,bench_11283.smt2.cnf,44,9957,31454,3863717,170499
599.812,bench_1128.smt2.cnf,29,5578,30123,3422091,64237
599.825,bench_11298.smt2.cnf,38,9123,52592,3253195,89370
19.3743,bench_112.smt2.cnf,45,10138,31746,3887839,175578
599.775,bench_11308.smt2.cnf,46,10675,45966,4001110,110734
599.795,bench_11309.smt2.cnf,46,10451,45515,3794828,104818
7.40907,bench_11322.smt2.cnf,23,4455,17044,3875928,58465
6.99832,bench_11323.smt2.cnf,25,4805,18999,4194051,61195
599.646,bench_1133.smt2.cnf,31,7621,30933,3528625,83445
599.762,bench_1134.smt2.cnf,32,8041,34526,3981183,131244
599.235,bench_1135.smt2.cnf,31,7920,31886,3813341,92222
598.342,bench_11365.smt2.cnf,55,12589,68516,3754372,128785
19.8148,bench_11368.smt2.cnf,45,10281,31938,3936890,181941
598.878,bench_1136.smt2.cnf,31,7609,33621,3668778,115318
4.3247,bench_11378.smt2.cnf,63,17343,29722,4578321,339279
4.18752,bench_11379.smt2.cnf,63,16956,29200,4472111,331781
598.879,bench_1137.smt2.cnf,36,8604,42193,3584254,88671
6.906,bench_11383.smt2.cnf,45,10306,66024,3327297,95475
6.87396,bench_11384.smt2.cnf,41,9567,61742,3060184,88816
598.708,bench_1138.smt2.cnf,35,8443,41427,3514915,87361
132.452,bench_1139.smt2.cnf,30,6176,35966,3674074,86052
29.2284,bench_11403.smt2.cnf,39,9317,28184,4213252,125726
29.6685,bench_11405.smt2.cnf,34,8390,26132,3907181,115458
140.448,bench_1140.smt2.cnf,30,5882,34137,3479137,82999
3.98696,bench_11411.smt2.cnf,63,18099,27524,4498504,391939
598.881,bench_11415.smt2.cnf,58,12940,69812,3893534,133027
19.9525,bench_11421.smt2.cnf,40,9333,30136,3744446,154007
4.09632,bench_11422.smt2.cnf,61,13826,21563,3464011,291805
8.57283,bench_1143.smt2.cnf,90,24241,42293,4158858,578002
8.78932,bench_1144.smt2.cnf,88,23986,41842,4108654,573207
599.677,bench_1145.smt2.cnf,28,5181,30874,3535664,64185
,bench_11469.smt2.cnf,30,6399,14078,4465904,184833
